NHAHR,FHAHR,NHALR,FHALR
0.10719751628842537,0.11952861952861954,0.12162097162097163,0.1282172373081464
0.15211421575057946,0.08259871441689624,0.11998775635139271,0.12416152870698327
0.12248567930386114,0.12029603393239757,0.10641698368971098,0.1320477502295684
0.1364467182649001,0.10520355065809611,0.11706349206349209,0.11324063142244963
0.12992916174734356,0.14990817263544537,0.1328326555599283,0.1825528007346189
0.12168437622983079,0.1310966810966811,0.12934102934102934,0.12381717608990338
0.12070707070707071,0.11583584765402948,0.08821548821548822,0.13403734312825225
0.12629760811578994,0.12134548952730774,0.14277624732170188,0.1103305785123967
0.11764178582360403,0.10658314749223842,0.13302724211815123,0.1543049543049543
0.10189339280248372,0.12096724823997551,0.11648519830338012,0.14595959595959596
0.1139009139009139,0.11020595566050112,0.1008308190126372,0.11123354759718396
0.13362193362193364,0.05583103764921948,0.11259346713892171,0.09392408937863486
0.11976693340329704,0.10729699593335956,0.08829857011675195,0.13338143338143338
,0.09306703397612491,,0.10733088460361188
,0.12917049280685647,,0.13324041278586735
