NHAHR,FHAHR,NHALR,FHALR
0.2602194005481631,0.2716693968192879,0.2577620729097462,0.26954160987242304
0.28021967817995025,0.24619960598328558,0.2666785944224429,0.2566041906368429
0.2778599932448428,0.2906508868636976,0.269406592713277,0.28000665390849155
0.24326328060701,0.24086110861330062,0.266284211249875,0.25080642506227224
0.2590862191195062,0.23425085778795843,0.224350114414779,0.24151052790183614
0.24550927856156488,0.2731498589549586,0.2624843599776797,0.25323839034281437
0.2564783543739963,0.21980153763239998,0.20203645887499405,0.24456938910921444
0.2512056654070425,0.2399743988927581,0.2567241132565262,0.23207459017133808
0.24143453463793624,0.2600474621967331,0.257605676952885,0.2926407243271538
0.21828035624895686,0.23725926383607007,0.1902290609308693,0.2482384832704121
0.25855639977058537,0.23419871161670294,0.25811049906093125,0.2164903082799425
0.20804476777583295,0.20579371464162804,0.20108470914035206,0.19333315916834942
0.2102635232479884,0.25958244488501153,0.2038366352457277,0.2714973714294614
,0.22276970002340987,,0.21388524356182734
,0.22717870727704978,,0.22873793853113447
