NHAHR,FHAHR,NHALR,FHALR
0.2570528147822834,0.2748971193415638,0.2602669204118479,0.265863953545113
0.275842970770507,0.2477854226646497,0.2645220319133363,0.2527163746970511
0.27685551163812033,0.29159713072756555,0.2620463898241676,0.2836505148099351
0.2435644691683339,0.2347126661136323,0.26638770962442465,0.2452617967110721
0.26040761886172514,0.23740301566388525,0.20811943915808653,0.240314578961922
0.23751378519494462,0.26964085297418633,0.26201792481985725,0.25058393923128225
0.24607508254851254,0.2134380032206119,0.2049911351843719,0.20693244847834225
0.2488695326859578,0.2345288635143708,0.26202524439239416,0.22334252346329642
0.24139340262528672,0.2616885440556938,0.24478033149530737,0.29278290147855374
0.2139057239057239,0.2304762601864051,0.18252382346585247,0.20872655703573575
0.2658541941150638,0.23013102034841165,0.2626116234811887,0.21036695456985313
0.21532759153532102,0.20525634769596124,0.20247726866084356,0.19711844694936484
0.22115071813139453,0.26487093153759816,0.21349159875729926,0.2779339286585664
,0.2257022723206298,,0.20725003659786273
,0.21930333935164853,,0.21573748759739106
